Source IP;Destination IP;Source port;Destination port;Handshake type;Handshake version;Handshake ciphersuite;Handshake extensions;Handshake SNI;Handshake supported EC;Handshake EC type
192.168.10.160;142.250.186.170;58662;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;firebaseinstallations.googleapis.com;0x0000001d,0x00000017,0x00000018;0
142.250.186.170;192.168.10.160;443;58662;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;172.217.23.195;58663;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;firebase-settings.crashlytics.com;0x0000001d,0x00000017,0x00000018;0
172.217.23.195;192.168.10.160;443;58663;2;0x00000303;49199;23,65281,11,35,16;;;0
192.168.10.160;142.250.186.138;58664;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;firebaseremoteconfig.googleapis.com;0x0000001d,0x00000017,0x00000018;0
142.250.186.138;192.168.10.160;443;58664;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;35.190.88.7;58665;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;sessions.bugsnag.com;0x0000001d,0x00000017,0x00000018;0
35.190.88.7;192.168.10.160;443;58665;2;0x00000303;49199;23,65281,11,35,16;;;0
192.168.10.160;34.107.247.91;58667;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;api.leanplum.com;0x0000001d,0x00000017,0x00000018;0
34.107.247.91;192.168.10.160;443;58667;2;0x00000303;49199;23,65281,11,35,16;;;0
192.168.10.160;216.58.201.78;58668;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;clients3.google.com;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;52.57.74.20;58671;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;node.bolt.eu;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;52.57.74.20;58672;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;node.bolt.eu;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;52.57.74.20;58673;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;node.bolt.eu;0x0000001d,0x00000017,0x00000018;0
216.58.201.78;192.168.10.160;443;58668;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;40.84.20.120;58670;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;codepush.appcenter.ms;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;40.84.20.120;58669;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;codepush.appcenter.ms;0x0000001d,0x00000017,0x00000018;0
52.57.74.20;192.168.10.160;443;58671;2;0x00000303;49200;65281,0,11,35,16,23;;;0,1,2
52.57.74.20;192.168.10.160;443;58672;2;0x00000303;49200;65281,0,11,35,16,23;;;0,1,2
192.168.10.160;99.86.241.38;58674;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;conversions.appsflyer.com;0x0000001d,0x00000017,0x00000018;0
52.57.74.20;192.168.10.160;443;58673;2;0x00000303;49200;65281,0,11,35,16,23;;;0,1,2
99.86.241.38;192.168.10.160;443;58674;2;0x00000303;49199;0,11,65281,16,5,35;;;0
40.84.20.120;192.168.10.160;443;58670;2,11,12,14;0x00000303;49200;35,16,23,65281,0;;;
40.84.20.120;192.168.10.160;443;58669;2,11,12,14;0x00000303;49200;35,16,23,65281,0;;;
192.168.10.160;99.86.241.78;58675;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;gcdsdk.appsflyer.com;0x0000001d,0x00000017,0x00000018;0
