Source IP;Destination IP;Source port;Destination port;Handshake type;Handshake version;Handshake ciphersuite;Handshake extensions;Handshake SNI;Handshake supported EC;Handshake EC type
192.168.10.160;142.250.186.170;58599;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;firebaseinstallations.googleapis.com;0x0000001d,0x00000017,0x00000018;0
142.250.186.170;192.168.10.160;443;58599;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;69.171.250.15;58600;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;graph.facebook.com;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;69.171.250.15;58601;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;graph.facebook.com;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;69.171.250.15;58602;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;graph.facebook.com;0x0000001d,0x00000017,0x00000018;0
69.171.250.15;192.168.10.160;443;58601;2;0x00000303;49195;65281,0,11,35,16,23;;;0,1,2
69.171.250.15;192.168.10.160;443;58600;2;0x00000303;49195;65281,0,11,35,16,23;;;0,1,2
69.171.250.15;192.168.10.160;443;58602;2;0x00000303;49195;65281,0,11,35,16,23;;;0,1,2
192.168.10.160;151.101.114.133;58603;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;www.paypalobjects.com;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;151.101.114.133;58604;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;www.paypalobjects.com;0x0000001d,0x00000017,0x00000018;0
151.101.114.133;192.168.10.160;443;58603;2;0x00000303;49199;65281,0,11,35,5,16,23;;;0,1,2
151.101.114.133;192.168.10.160;443;58604;2;0x00000303;49199;65281,0,11,35,5,16,23;;;0,1,2
192.168.10.160;104.17.20.60;58605;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,51,45,43,21;global.fd-api.com;0x0000001d,0x00000017,0x00000018;0
104.17.20.60;192.168.10.160;443;58605;2;0x00000303;49195;0,23,65281,11,35,16,5;;;0
192.168.10.160;35.244.208.123;58607;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;api3.siftscience.com;0x0000001d,0x00000017,0x00000018;0
35.244.208.123;192.168.10.160;443;58607;2;0x00000303;49199;23,65281,11,35,16;;;0
192.168.10.160;151.101.113.208;58609;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,51,45,43,21;sdk.iad-01.braze.com;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;172.217.23.195;58610;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,51,45,43,21;firebase-settings.crashlytics.com;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;151.101.113.208;58611;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,35,16,5,13,51,45,43,21;sdk.iad-01.braze.com;0x0000001d,0x00000017,0x00000018;0
