Source IP;Destination IP;Source port;Destination port;Handshake type;Handshake version;Handshake ciphersuite;Handshake extensions;Handshake SNI;Handshake supported EC;Handshake EC type
192.168.10.160;40.77.226.250;58468;443;1;0x00000303;4865,4866,4867,49199,49195,49200,49196,52393,52392,49161,49171,49162,49172,156,157,47,53,10;0,23,65281,10,11,35,13,51,45,43,21;vortex.data.microsoft.com;0x0000001d,0x00000017,0x00000018;0
40.77.226.250;192.168.10.160;443;58468;2,11,12,14;0x00000303;49199;23,65281;;;
192.168.10.160;172.217.23.234;58470;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;firebaseinstallations.googleapis.com;0x0000001d,0x00000017,0x00000018;0
172.217.23.234;192.168.10.160;443;58470;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;162.159.128.232;58471;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;dl.discordapp.net;0x0000001d,0x00000017,0x00000018;0
162.159.128.232;192.168.10.160;443;58471;2;0x00000303;49195;0,23,65281,11,35,16;;;0
192.168.10.160;162.159.138.232;58472;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;discord.com;0x0000001d,0x00000017,0x00000018;0
162.159.138.232;192.168.10.160;443;58472;2;0x00000303;49195;0,23,65281,11,35,16;;;0
192.168.10.160;216.58.201.67;58473;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;firebase-settings.crashlytics.com;0x0000001d,0x00000017,0x00000018;0
216.58.201.67;192.168.10.160;443;58473;2;0x00000303;49199;23,65281,11,35,16;;;0
192.168.10.160;185.151.204.10;58474;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;app.adjust.com;0x0000001d,0x00000017,0x00000018;0
185.151.204.10;192.168.10.160;443;58474;2;0x00000303;49200;65281,0,11,35,23;;;0,1,2
192.168.10.160;185.151.204.10;58475;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10,21;app.adjust.com;0x0000001d,0x00000017,0x00000018;0
185.151.204.10;192.168.10.160;443;58475;2;0x00000303;49200;65281,0,11,35,23;;;0,1,2
192.168.10.160;185.151.204.10;58476;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10,21;app.adjust.com;0x0000001d,0x00000017,0x00000018;0
185.151.204.10;192.168.10.160;443;58476;2;0x00000303;49200;65281,0,11,35,23;;;0,1,2
192.168.10.160;172.217.23.202;58477;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;firebaseremoteconfig.googleapis.com;0x0000001d,0x00000017,0x00000018;0
172.217.23.202;192.168.10.160;443;58477;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;185.151.204.10;58479;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10,21;app.adjust.com;0x0000001d,0x00000017,0x00000018;0
185.151.204.10;192.168.10.160;443;58479;2;0x00000303;49200;65281,0,11,35,23;;;0,1,2
192.168.10.160;172.217.23.202;58496;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;play.googleapis.com;0x0000001d,0x00000017,0x00000018;0
172.217.23.202;192.168.10.160;443;58496;2;0x00000303;49195;23,65281,11,35,16;;;0
