Source IP;Destination IP;Source port;Destination port;Handshake type;Handshake version;Handshake ciphersuite;Handshake extensions;Handshake SNI;Handshake supported EC;Handshake EC type
192.168.10.160;2.23.8.223;58559;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;api.pinterest.com;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;104.18.14.176;58558;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;i.pinimg.com;0x0000001d,0x00000017,0x00000018;0
104.18.14.176;192.168.10.160;443;58558;2;0x00000303;49195;0,23,65281,11,35,16,5;;;0
2.23.8.223;192.168.10.160;443;58559;2;0x00000303;49200;65281,0,11,35,5,16;;;0,1,2
192.168.10.160;69.171.250.15;58561;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;graph.facebook.com;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;69.171.250.15;58560;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;graph.facebook.com;0x0000001d,0x00000017,0x00000018;0
69.171.250.15;192.168.10.160;443;58561;2;0x00000303;49195;65281,0,11,35,16,23;;;0,1,2
69.171.250.15;192.168.10.160;443;58560;2;0x00000303;49195;65281,0,11,35,16,23;;;0,1,2
192.168.10.160;69.171.250.15;58562;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;graph.facebook.com;0x0000001d,0x00000017,0x00000018;0
69.171.250.15;192.168.10.160;443;58562;2;0x00000303;49195;65281,0,11,35,16,23;;;0,1,2
192.168.10.160;99.86.241.127;58563;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;api2.branch.io;0x0000001d,0x00000017,0x00000018;0
