Source IP;Destination IP;Source port;Destination port;Handshake type;Handshake version;Handshake ciphersuite;Handshake extensions;Handshake SNI;Handshake supported EC;Handshake EC type
192.168.10.160;216.58.201.74;58720;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;firebaseinstallations.googleapis.com;0x0000001d,0x00000017,0x00000018;0
216.58.201.74;192.168.10.160;443;58720;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;69.171.250.15;58721;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;graph.facebook.com;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;69.171.250.15;58722;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;graph.facebook.com;0x0000001d,0x00000017,0x00000018;0
69.171.250.15;192.168.10.160;443;58721;2;0x00000303;49195;65281,0,11,35,16,23;;;0,1,2
69.171.250.15;192.168.10.160;443;58722;2;0x00000303;49195;65281,0,11,35,16,23;;;0,1,2
192.168.10.160;69.171.250.15;58723;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;graph.facebook.com;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;69.171.250.15;58724;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;graph.facebook.com;0x0000001d,0x00000017,0x00000018;0
69.171.250.15;192.168.10.160;443;58723;2;0x00000303;49195;65281,0,11,35,16,23;;;0,1,2
69.171.250.15;192.168.10.160;443;58724;2;0x00000303;49195;65281,0,11,35,16,23;;;0,1,2
192.168.10.160;172.217.23.195;58725;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;firebase-settings.crashlytics.com;0x0000001d,0x00000017,0x00000018;0
172.217.23.195;192.168.10.160;443;58725;2;0x00000303;49199;23,65281,11,35,16;;;0
192.168.10.160;142.250.186.138;58726;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;firebaseremoteconfig.googleapis.com;0x0000001d,0x00000017,0x00000018;0
142.250.186.138;192.168.10.160;443;58726;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;40.70.161.102;58727;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;in.appcenter.ms;0x0000001d,0x00000017,0x00000018;0
40.70.161.102;192.168.10.160;443;58727;2;0x00000303;49200;0,65281,11,35,16;;;0,1,2
192.168.10.160;172.217.23.106;58731;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,5,13,51,45,43,21;www.googleapis.com;0x0000001d,0x00000017,0x00000018;0
172.217.23.106;192.168.10.160;443;58731;2;0x00000303;4865;51,43;;;
192.168.10.160;185.145.160.88;58733;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;oauth.rossmann.cz;0x0000001d,0x00000017,0x00000018;0
185.145.160.88;192.168.10.160;443;58733;2;0x00000303;52392;65281,0,11,16,23;;;0,1,2
192.168.10.160;185.145.160.88;58737;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;mbe.rossmann.cz;0x0000001d,0x00000017,0x00000018;0
185.145.160.88;192.168.10.160;443;58737;2;0x00000303;52392;65281,0,11,16,23;;;0,1,2
192.168.10.160;40.101.78.98;58741;443;1;0x00000303;49196,49195,49200,49199,49188,49187,49192,49191,49162,49161,49172,49171,157,156,61,60,53,47,10;0,5,10,11,13,35,16,23,65281;outlook.office365.com;0x0000001d,0x00000017,0x00000018;0
40.101.78.98;192.168.10.160;443;58741;2,11,22,12,14;0x00000303;49200;5,35,23,65281;;;
192.168.10.160;13.64.117.133;58747;443;1;0x00000303;49196,49200,159,49195,49199,158,49188,49192,107,49187,49191,103,49162,49172,57,49161,49171,51,157,156,61,60,53,47,255;0,11,10,35,23,13;edf.eset.com;0x0000001d,0x00000017,0x0000001e,0x00000019,0x00000018;0,1,2
13.64.117.133;192.168.10.160;443;58747;2;0x00000303;49199;65281,0,11,35,23;;;0,1,2
192.168.10.160;13.94.251.244;58749;443;1;0x00000303;10794,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;14906,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,51914,21;static.asm.skype.com;0x00002a2a,0x0000001d,0x00000017,0x00000018;0
13.94.251.244;192.168.10.160;443;58749;2,11,22,12,14;0x00000303;49200;5,16,23,65281;;;
192.168.10.160;68.232.34.200;58750;443;1;0x00000303;47802,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;27242,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,56026,41;static-asm.secure.skypeassets.com;0x00000a0a,0x0000001d,0x00000017,0x00000018;0
68.232.34.200;192.168.10.160;443;58750;2;0x00000303;4866;43,51;;;
192.168.10.160;68.232.34.200;58750;443;1;0x00000303;47802,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;27242,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,56026,41;static-asm.secure.skypeassets.com;0x00000a0a,0x0000001d,0x00000017,0x00000018;0
68.232.34.200;192.168.10.160;443;58750;2;0x00000303;4866;43,51;;;
192.168.10.160;172.217.23.202;58755;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;0,23,65281,10,11,5,13,30032,51,45,43,21;android.googleapis.com;0x0000001d,0x00000017,0x00000018;0
172.217.23.202;192.168.10.160;443;58755;2;0x00000303;4865;51,43;;;
