Source IP;Destination IP;Source port;Destination port;Handshake type;Handshake version;Handshake ciphersuite;Handshake extensions;Handshake SNI;Handshake supported EC;Handshake EC type
192.168.10.160;99.86.241.9;58699;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392;0,23,65281,10,11,35,16,5,13,51,45,43,21;cdn.signal.org;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;99.86.241.9;58698;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392;0,23,65281,10,11,35,16,5,13,51,45,43,21;cdn.signal.org;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;99.86.241.9;58697;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392;0,23,65281,10,11,35,16,5,13,51,45,43,21;cdn.signal.org;0x0000001d,0x00000017,0x00000018;0
99.86.241.9;192.168.10.160;443;58698;2;0x00000303;4865;43,51;;;
99.86.241.9;192.168.10.160;443;58699;2;0x00000303;4865;43,51;;;
99.86.241.9;192.168.10.160;443;58697;2;0x00000303;4865;43,51;;;
192.168.10.160;142.250.186.170;58705;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;firebaseinstallations.googleapis.com;0x0000001d,0x00000017,0x00000018;0
142.250.186.170;192.168.10.160;443;58705;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;13.248.212.111;58706;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392;0,23,65281,10,11,35,16,5,13,51,45,43,21;textsecure-service.whispersystems.org;0x0000001d,0x00000017,0x00000018;0
13.248.212.111;192.168.10.160;443;58706;2;0x00000303;49199;65281,11,35,16;;;0,1,2
192.168.10.160;13.248.212.111;58710;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392;0,23,65281,10,11,35,16,5,13,51,45,43,21;textsecure-service.whispersystems.org;0x0000001d,0x00000017,0x00000018;0
13.248.212.111;192.168.10.160;443;58710;2;0x00000303;49199;65281,11,35,16;;;0,1,2
192.168.10.160;13.248.212.111;58712;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392;0,23,65281,10,11,35,16,5,13,51,45,43,21;textsecure-service.whispersystems.org;0x0000001d,0x00000017,0x00000018;0
13.248.212.111;192.168.10.160;443;58712;2;0x00000303;49199;65281,11,35,16;;;0,1,2
192.168.10.160;13.248.212.111;58713;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392;0,23,65281,10,11,35,16,5,13,51,45,43,21;textsecure-service.whispersystems.org;0x0000001d,0x00000017,0x00000018;0
13.248.212.111;192.168.10.160;443;58713;2;0x00000303;49199;65281,11,35,16;;;0,1,2
192.168.10.160;13.248.212.111;58715;443;1;0x00000303;4865,4866,4867,49195,49196,52393,49199,49200,52392;0,23,65281,10,11,35,16,5,13,51,45,43,21;textsecure-service.whispersystems.org;0x0000001d,0x00000017,0x00000018;0
13.248.212.111;192.168.10.160;443;58715;2;0x00000303;49199;65281,11,35,16;;;0,1,2
