Source IP;Destination IP;Source port;Destination port;Handshake type;Handshake version;Handshake ciphersuite;Handshake extensions;Handshake SNI;Handshake supported EC;Handshake EC type
192.168.10.160;172.217.23.234;58394;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;firebaseinstallations.googleapis.com;0x0000001d,0x00000017,0x00000018;0
172.217.23.234;192.168.10.160;443;58394;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;35.241.3.184;58396;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;api.usercentrics.eu;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;34.120.238.166;58397;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;graphql.usercentrics.eu;0x0000001d,0x00000017,0x00000018;0
35.241.3.184;192.168.10.160;443;58396;2;0x00000303;49199;23,65281,11,35,16;;;0
34.120.238.166;192.168.10.160;443;58397;2;0x00000303;49199;23,65281,11,35,16;;;0
192.168.10.160;2.23.9.116;58399;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;www.zalando.de;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;2.23.9.116;58398;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;www.zalando.de;0x0000001d,0x00000017,0x00000018;0
192.168.10.160;172.217.23.202;58400;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;firebaseremoteconfig.googleapis.com;0x0000001d,0x00000017,0x00000018;0
2.23.9.116;192.168.10.160;443;58399;2;0x00000303;49196;65281,0,11,35,5,16;;;0,1,2
2.23.9.116;192.168.10.160;443;58398;2;0x00000303;49196;65281,0,11,35,5,16;;;0,1,2
172.217.23.202;192.168.10.160;443;58400;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;35.241.62.251;58401;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49161,49162,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;aggregator.service.usercentrics.eu;0x0000001d,0x00000017,0x00000018;0
35.241.62.251;192.168.10.160;443;58401;2;0x00000303;49199;23,65281,11,35,16;;;0
192.168.10.160;2.23.9.116;58402;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;www.zalando.de;0x0000001d,0x00000017,0x00000018;0
2.23.9.116;192.168.10.160;443;58402;2;0x00000303;49196;65281,0,11,35,5,16;;;0,1,2
192.168.10.160;13.94.251.244;58403;443;1;0x00000303;64250,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;56026,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,51914,21;static.asm.skype.com;0x00007a7a,0x0000001d,0x00000017,0x00000018;0
13.94.251.244;192.168.10.160;443;58403;2,11,22,12,14;0x00000303;49200;5,16,23,65281;;;
192.168.10.160;68.232.34.200;58404;443;1;0x00000303;23130,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;51914,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,56026,41;static-asm.secure.skypeassets.com;0x00008a8a,0x0000001d,0x00000017,0x00000018;0
68.232.34.200;192.168.10.160;443;58404;2;0x00000303;4866;43,51;;;
192.168.10.160;68.232.34.200;58404;443;1;0x00000303;23130,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;51914,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,56026,41;static-asm.secure.skypeassets.com;0x00008a8a,0x0000001d,0x00000017,0x00000018;0
68.232.34.200;192.168.10.160;443;58404;2;0x00000303;4866;43,51;;;
192.168.10.160;172.217.23.227;58405;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;firebase-settings.crashlytics.com;0x0000001d,0x00000017,0x00000018;0
