Source IP;Destination IP;Source port;Destination port;Handshake type;Handshake version;Handshake ciphersuite;Handshake extensions;Handshake SNI;Handshake supported EC;Handshake EC type
192.168.10.160;52.28.229.114;58216;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;api.zonky.cz;0x0000001d,0x00000017,0x00000018;0
52.28.229.114;192.168.10.160;443;58216;2;0x00000303;49200;65281,0,11,5,16,23;;;0,1,2
192.168.10.160;40.127.110.237;58218;443;1;0x00000303;60138,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;56026,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,43690,21;static.asm.skype.com;0x0000eaea,0x0000001d,0x00000017,0x00000018;0
40.127.110.237;192.168.10.160;443;58218;2,11,22,12,14;0x00000303;49200;5,16,23,65281;;;
192.168.10.160;68.232.34.200;58219;443;1;0x00000303;2570,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;39578,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,60138,41;static-asm.secure.skypeassets.com;0x0000fafa,0x0000001d,0x00000017,0x00000018;0
68.232.34.200;192.168.10.160;443;58219;2;0x00000303;4866;43,51;;;
192.168.10.160;68.232.34.200;58219;443;1;0x00000303;2570,4865,4866,4867,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;39578,0,23,65281,10,11,35,16,5,13,18,51,45,43,27,60138,41;static-asm.secure.skypeassets.com;0x0000fafa,0x0000001d,0x00000017,0x00000018;0
68.232.34.200;192.168.10.160;443;58219;2;0x00000303;4866;43,51;;;
192.168.10.160;52.28.229.114;58222;443;1;0x00000303;49195,49196,52393,49199,49200,52392,49171,49172,156,157,47,53;65281,0,23,35,13,5,16,11,10;api.zonky.cz;0x0000001d,0x00000017,0x00000018;0
52.28.229.114;192.168.10.160;443;58222;2;0x00000303;49200;65281,0,11,5,16,23;;;0,1,2
192.168.10.160;99.86.241.67;58224;443;1;0x00000303;2570,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;31354,65281,0,23,35,13,5,18,16,11,10,43690;zonky.cz;0x00007a7a,0x0000001d,0x00000017,0x00000018;0
99.86.241.67;192.168.10.160;443;58224;2;0x00000303;49199;0,11,65281,16,5,35;;;0
192.168.10.160;77.75.79.33;58227;443;1;0x00000303;23130,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;27242,65281,0,23,35,13,5,18,16,11,10,6682;c.imedia.cz;0x0000caca,0x0000001d,0x00000017,0x00000018;0
192.168.10.160;99.86.241.30;58226;443;1;0x00000303;6682,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;47802,65281,0,23,35,13,5,18,16,11,10,64250;static.hotjar.com;0x0000eaea,0x0000001d,0x00000017,0x00000018;0
192.168.10.160;161.71.10.172;58228;443;1;0x00000303;6682,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;31354,65281,0,23,35,13,5,18,16,11,10,23130;service.force.com;0x00003a3a,0x0000001d,0x00000017,0x00000018;0
99.86.241.30;192.168.10.160;443;58226;2;0x00000303;49199;0,11,65281,16,5,35;;;0
77.75.79.33;192.168.10.160;443;58227;2;0x00000303;49200;65281,0,11,35,16,23;;;0,1,2
161.71.10.172;192.168.10.160;443;58228;2;0x00000303;49200;65281,11;;;0
192.168.10.160;69.171.250.35;58229;443;1;0x00000303;43690,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;2570,65281,0,23,35,13,5,18,16,11,10,43690;www.facebook.com;0x0000fafa,0x0000001d,0x00000017,0x00000018;0
69.171.250.35;192.168.10.160;443;58229;2;0x00000303;49195;65281,0,11,35,16,23;;;0,1,2
192.168.10.160;104.79.89.5;58230;443;1;0x00000303;10794,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;31354,65281,0,23,35,13,5,18,16,11,10,6682;snap.licdn.com;0x0000eaea,0x0000001d,0x00000017,0x00000018;0
104.79.89.5;192.168.10.160;443;58230;2;0x00000303;49200;65281,0,11,35,5,16;;;0,1,2
192.168.10.160;172.217.23.206;58231;443;1;0x00000303;14906,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;43690,65281,0,23,35,13,5,18,16,11,10,10794;www.youtube.com;0x00003a3a,0x0000001d,0x00000017,0x00000018;0
172.217.23.206;192.168.10.160;443;58231;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;172.217.23.206;58232;443;1;0x00000303;56026,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;19018,65281,0,23,35,13,5,18,16,11,10,2570;www.google-analytics.com;0x0000fafa,0x0000001d,0x00000017,0x00000018;0
192.168.10.160;91.201.28.212;58233;443;1;0x00000303;64250,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;31354,65281,0,23,35,13,5,18,16,11,10,64250;login.dognet.sk;0x0000eaea,0x0000001d,0x00000017,0x00000018;0
192.168.10.160;172.217.23.226;58235;443;1;0x00000303;39578,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;19018,65281,0,23,35,13,5,18,16,11,10,6682;www.googleadservices.com;0x00009a9a,0x0000001d,0x00000017,0x00000018;0
192.168.10.160;172.217.23.226;58234;443;1;0x00000303;14906,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;43690,65281,0,23,35,13,5,18,16,11,10,10794;www.googleadservices.com;0x00000a0a,0x0000001d,0x00000017,0x00000018;0
172.217.23.206;192.168.10.160;443;58232;2;0x00000303;49195;23,65281,11,35,16;;;0
91.201.28.212;192.168.10.160;443;58233;2;0x00000303;49199;0,65281,11,35,16;;;0,1,2
172.217.23.226;192.168.10.160;443;58235;2;0x00000303;49195;23,65281,11,35,16;;;0
172.217.23.226;192.168.10.160;443;58234;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;161.71.10.172;58236;443;1;0x00000303;64250,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;10794,65281,0,23,35,13,5,18,16,11,10,2570;service.force.com;0x00005a5a,0x0000001d,0x00000017,0x00000018;0
161.71.10.172;192.168.10.160;443;58236;2;0x00000303;49200;65281,11;;;0
192.168.10.160;108.174.11.37;58237;443;1;0x00000303;43690,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;60138,65281,0,23,35,13,5,18,16,11,10,64250;px.ads.linkedin.com;0x00002a2a,0x0000001d,0x00000017,0x00000018;0
192.168.10.160;77.75.76.60;58239;443;1;0x00000303;56026,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;27242,65281,0,23,35,13,5,18,16,11,10,47802;c.seznam.cz;0x00004a4a,0x0000001d,0x00000017,0x00000018;0
77.75.76.60;192.168.10.160;443;58239;2;0x00000303;49200;65281,0,11,35,16,23;;;0,1,2
108.174.11.37;192.168.10.160;443;58237;2;0x00000303;49199;65281,0,11,16,23;;;0,1,2
192.168.10.160;74.125.133.154;58240;443;1;0x00000303;31354,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;19018,65281,0,23,35,13,5,18,16,11,10,27242;stats.g.doubleclick.net;0x00009a9a,0x0000001d,0x00000017,0x00000018;0
192.168.10.160;172.217.23.194;58241;443;1;0x00000303;64250,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;31354,65281,0,23,35,13,5,18,16,11,10,51914;googleads.g.doubleclick.net;0x0000baba,0x0000001d,0x00000017,0x00000018;0
192.168.10.160;172.217.23.194;58242;443;1;0x00000303;2570,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;60138,65281,0,23,35,13,5,18,16,11,10,14906;googleads.g.doubleclick.net;0x00003a3a,0x0000001d,0x00000017,0x00000018;0
74.125.133.154;192.168.10.160;443;58240;2;0x00000303;49195;23,65281,11,35,16;;;0
172.217.23.194;192.168.10.160;443;58241;2;0x00000303;49195;23,65281,11,35,16;;;0
172.217.23.194;192.168.10.160;443;58242;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;172.217.23.228;58245;443;1;0x00000303;2570,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;35466,65281,0,23,35,13,5,18,16,11,10,23130;www.google.com;0x00006a6a,0x0000001d,0x00000017,0x00000018;0
192.168.10.160;172.217.23.228;58244;443;1;0x00000303;23130,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;39578,65281,0,23,35,13,5,18,16,11,10,51914;www.google.com;0x00004a4a,0x0000001d,0x00000017,0x00000018;0
192.168.10.160;172.217.23.227;58246;443;1;0x00000303;35466,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;14906,65281,0,23,35,13,5,18,16,11,10,27242;www.google.cz;0x00006a6a,0x0000001d,0x00000017,0x00000018;0
192.168.10.160;172.217.23.227;58247;443;1;0x00000303;43690,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;51914,65281,0,23,35,13,5,18,16,11,10,47802;www.google.cz;0x0000dada,0x0000001d,0x00000017,0x00000018;0
192.168.10.160;172.217.23.228;58243;443;1;0x00000303;19018,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;43690,65281,0,23,35,13,5,18,16,11,10,35466;www.google.com;0x0000aaaa,0x0000001d,0x00000017,0x00000018;0
172.217.23.228;192.168.10.160;443;58245;2;0x00000303;49195;23,65281,11,35,16;;;0
172.217.23.227;192.168.10.160;443;58247;2;0x00000303;49195;23,65281,11,35,16;;;0
172.217.23.228;192.168.10.160;443;58243;2;0x00000303;49195;23,65281,11,35,16;;;0
172.217.23.228;192.168.10.160;443;58244;2;0x00000303;49195;23,65281,11,35,16;;;0
172.217.23.227;192.168.10.160;443;58246;2;0x00000303;49195;23,65281,11,35,16;;;0
192.168.10.160;216.58.201.70;58248;443;1;0x00000303;47802,49195,49199,49196,49200,52393,52392,49171,49172,156,157,47,53,10;10794,65281,0,23,35,13,5,18,16,11,10,39578;static.doubleclick.net;0x0000baba,0x0000001d,0x00000017,0x00000018;0
216.58.201.70;192.168.10.160;443;58248;2;0x00000303;49195;23,65281,11,35,16;;;0
